Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
16/03/2004;22.00.00;2,6;1379,25;183;13,52960473;1101,25;184;817,5;138;1710;1601,75;17,92500019;45,90000057;0,934186045
16/03/2004;23.00.00;1,7;1200,5;88;9,087345627;942,75;130;935;117;1559,75;1361,75;16,70000029;48,92500019;0,922649926
17/03/2004;00.00.00;1,7;1204,75;85;8,630947011;924,75;132;922;107;1546,5;1314,25;15,52499986;52,92500019;0,92712823
17/03/2004;01.00.00;1,2;1071,5;47;5,415775468;784;95;1065,5;90;1441,75;1113,75;15,47500014;51,875;0,90587528
17/03/2004;02.00.00;0,9;997,75;34;4,050256979;713,5;70;1169,25;79;1383,25;991,5;14,125;55,57500076;0,890955806
17/03/2004;03.00.00;0,7;933,25;26;2,581678581;625;0;1291,5;0;1331,5;883,75;13,05000019;57,90000057;0,866633008
17/03/2004;04.00.00;0;882,75;17;1,898934591;576,5;54;1396;60;1303,25;808,25;12,65000033;57,90000057;0,844660353
17/03/2004;05.00.00;0,5;868,75;11;1,606828258;553,5;28;1459,5;40;1267,75;667;11,82499981;58,02500057;0,802631932
17/03/2004;06.00.00;0,5;890,75;18;1,895648214;576,25;46;1416,5;53;1289,25;733;11,9000001;57,39999962;0,797845704
17/03/2004;07.00.00;1,6;1172,75;84;7,486888715;877,75;160;1038;84;1556,25;1051,75;9,900000095;65,19999981;0,795645557
17/03/2004;08.00.00;4,1;1587,25;260;21,35879147;1333,75;320;702,25;108;1998,75;1533,5;11,125;60,20000076;0,795775687
17/03/2004;09.00.00;6,6;1851,5;534;36,44841297;1695,75;377;552,75;127;2535,25;1931;14,12499976;50,02499866;0,801980417
17/03/2004;10.00.00;4,3;1521,5;368;21,2666241;1331,25;280;702,5;134;2025,75;1733,75;17,69999981;40,09999943;0,804829145
17/03/2004;11.00.00;2,9;1438,25;200;15,38797876;1160,75;221;818,5;135;1781,5;1595;21,10000038;33,42500019;0,826486216
17/03/2004;12.00.00;2,5;1393,25;145;12,49907422;1066,75;210;905;142;1654,25;1489,75;24,30000019;28,27500057;0,84712769
17/03/2004;13.00.00;2,8;1452;188;15,10830975;1152;204;860,5;153;1747;1507,5;25,57500029;25,55000019;0,825394883
17/03/2004;14.00.00;2,6;1389,25;152;13,73529005;1108;161;886,5;123;1711,5;1334;25,85000038;25,9000001;0,850339343
17/03/2004;15.00.00;2;1207;103;10,43447407;993,75;135;1013;104;1519,5;1044,75;26,82499981;18,69999981;0,650017745
17/03/2004;16.00.00;2,9;1365,25;193;15,16406855;1153,75;186;939,5;129;1678,5;1221,25;29,2750001;15,75000024;0,630890454
17/03/2004;17.00.00;2,5;1247;134;12,30882302;1060,25;147;1032;114;1524,75;1068,5;28,5;14,9000001;0,570801909
17/03/2004;18.00.00;5;1556,75;386;26,95102501;1477,75;299;793;158;1980,5;1568,5;25,85000038;15,95000029;0,523664583
17/03/2004;19.00.00;7,6;1972,5;577;38,39324611;1737,25;411;616,75;194;2413,75;2305,5;23,125;26,5;0,74026061
17/03/2004;20.00.00;6,7;1974,75;523;35,10363128;1666,5;347;596,75;182;2415,5;2358,5;20,52499962;38,24999905;0,913314177
17/03/2004;21.00.00;5,7;1794,75;472;27,24713083;1485;336;652,5;180;2174;2050;19,05000019;42,60000038;0,929387704
17/03/2004;22.00.00;2,8;1443,75;206;15,04469266;1150;202;769,5;136;1726,5;1726,5;17,1500001;44,12500095;0,85583071
17/03/2004;23.00.00;2,6;1488;216;15,71027437;1170,75;178;731;127;1777,5;1705;16,0250001;50,92499924;0,920598758
18/03/2004;00.00.00;2,3;1371,25;159;12,97267335;1082,75;154;795,75;116;1668,75;1550,5;14,79999995;53,92499924;0,902354487
18/03/2004;01.00.00;1,4;1160,75;70;8,12342212;904,25;92;946,75;107;1502;1240,25;14,27499986;55,44999981;0,897473061
18/03/2004;02.00.00;1;1064,25;44;5,477599159;787;61;1056,75;88;1407;1115;14,75;52,07499981;0,868641877
18/03/2004;03.00.00;0,7;970,25;42;3,581202459;687;0;1195,5;0;1350,5;968,5;13,875;53,875;0,850058903
18/03/2004;04.00.00;0;954;28;2,884931455;644,75;60;1260,25;78;1334;924,75;11,5999999;61,92499924;0,844196282
18/03/2004;05.00.00;0,6;930,5;20;2,548044693;622,75;37;1293,25;57;1306,5;827,75;12;58,85000038;0,823302452
18/03/2004;06.00.00;0,7;938;26;2,971926293;650,25;68;1251,25;71;1332,5;893;10,94999981;62,07499981;0,811276563
18/03/2004;07.00.00;1,5;1166,25;78;7,664791387;885,25;139;1005,25;85;1550,5;1075;10,57500005;63,25;0,806681846
18/03/2004;08.00.00;4,7;1643;319;23,25679956;1384,25;339;667;124;2093,75;1610,25;11,47500014;60,02500057;0,811693424
18/03/2004;09.00.00;6,6;1934;506;35,79057071;1681,5;421;540,5;151;2468,25;2050,5;14,27500033;50,57500076;0,818569924
18/03/2004;10.00.00;4,5;1616,5;0;21,31268654;1332,5;349;685,75;150;2010;1818,5;17,8499999;40,52499962;0,820964333
18/03/2004;11.00.00;2,8;1472,75;0;14,30578638;1126,5;224;830,5;152;1752;1567,75;20,80000067;34,44999981;0,83645626
18/03/2004;12.00.00;2,2;1378,5;0;12,52110631;1067,5;171;898,75;139;1662,5;1373,5;23,8499999;28,17499971;0,821851195
18/03/2004;13.00.00;2,2;1385,25;0;12,19236423;1056,25;149;891;133;1648;1267,5;24,1500001;28,67500019;0,851493361
18/03/2004;14.00.00;2,3;1378,75;0;13,09224479;1086,75;137;901,25;126;1660,25;1143,5;25,15000057;24,85000038;0,782925012
18/03/2004;15.00.00;2,2;1321,666667;0;14,37324794;1128,666667;149;933,6666667;128;1639,333333;1109,333333;27,03333346;17,83333333;0,627469327
18/03/2004;16.00.00;2,8;1495,75;0;16,83563434;1205;172;822;169;1766,5;1347,25;27,12500048;23,12499952;0,818014479
18/03/2004;17.00.00;2,7;1408,75;0;14,45385965;1131,25;166;873;149;1688,5;1205,75;25,80000019;23,92500019;0,783192918
18/03/2004;18.00.00;3,7;1512,75;0;21,5158658;1338;214;764,25;156;1956,5;1397;23,04999971;26,77499962;0,744593318
18/03/2004;19.00.00;5,1;1667;0;26,40333589;1464,25;280;683,25;168;2117,75;1588,25;20,7249999;31,125;0,752286519
18/03/2004;20.00.00;5,1;1666,75;0;25,96061982;1453,25;276;683,5;176;2051;1568,5;18,5999999;36,17500019;0,767639178
18/03/2004;21.00.00;3,2;1430,25;0;14,14288336;1121,25;178;814;135;1731,5;1321,5;16,04999971;48,42500019;0,876780241
18/03/2004;22.00.00;2,1;1333,25;0;10,3056641;989;129;885,25;121;1620,75;1194;14,45000005;57,77500057;0,945557828
18/03/2004;23.00.00;1,7;1261,5;0;8,276765149;910,5;95;948,25;99;1545,25;1061,5;13,05000019;64,17500019;0,960555664
19/03/2004;00.00.00;2;1287,25;0;8,921378917;936,25;126;918;106;1606;1040;11,97499967;69,69999886;0,97351894
19/03/2004;01.00.00;1,6;1134,25;0;6,618666372;840;103;1021,25;96;1501,25;917;11,94999981;71,10000038;0,991470559
19/03/2004;02.00.00;0,9;998,75;0;3,594138291;687,75;48;1228,5;63;1380,25;593,5;12,5250001;69,29999924;1,002870845
19/03/2004;03.00.00;0,7;960,75;0;2,529440504;621,5;0;1381,5;0;1300,75;430,25;12,5250001;67,49999809;0,976822235
19/03/2004;04.00.00;0;933,75;0;1,794977533;568,5;20;1439,75;32;1280,25;397;12,32499981;67,65000153;0,966465601
19/03/2004;05.00.00;0,5;912,75;0;1,268602112;524,5;18;1619,75;28;1260,25;370;12,45000005;66,80000114;0,96203688
19/03/2004;06.00.00;0,7;969,25;0;2,314320289;606,75;56;1372,5;61;1323,75;438;12,34999967;66,30000114;0,948706111
19/03/2004;07.00.00;1,5;1181,5;0;6,731036455;845;115;1054;99;1539;704,25;12,42499971;64,89999962;0,933170176
19/03/2004;08.00.00;4,8;1740,25;0;22,79955571;1372,25;320;670,75;157;2144,25;1475,75;13,0250001;61,62500095;0,920910529
19/03/2004;09.00.00;6,2;1819,25;0;31,31882318;1581,5;357;574,5;166;2455,5;1715,5;13,60000014;58,82500076;0,912017783
19/03/2004;10.00.00;4;1427;0;19,238006;1275;253;700,5;149;1980,25;1398;13,89999986;57,14999962;0,903171037
19/03/2004;11.00.00;3,3;1389,5;0;16,3633884;1190,75;218;758,75;135;1878,75;1267,5;14,4749999;54,40000057;0,891736016
19/03/2004;12.00.00;2,8;1283;0;14,01930102;1117,25;192;813;127;1751;1188,25;15,47500014;50,07499981;0,874442496
19/03/2004;13.00.00;3;1303,5;0;15,25985873;1156,75;176;793;122;1800,5;1170,5;16,12499976;47,57499981;0,865455121
19/03/2004;14.00.00;3,3;1364;0;16,72742509;1201,75;198;770,75;135;1875;1250,25;16,2750001;47,05000019;0,863995498
19/03/2004;15.00.00;3,5;1409,75;0;19,00041493;1268,25;212;724,25;139;1956,5;1344;16,39999962;47,49999905;0,879118203
19/03/2004;16.00.00;4;1476;0;19,41481032;1280;249;708;147;1954,5;1378;16,05000019;50,22500038;0,909370967
19/03/2004;17.00.00;4,6;1522;0;20,86310849;1320,25;270;689,75;158;2005,25;1435,25;16;50,65000057;0,914190929
19/03/2004;18.00.00;4,1;1441,75;0;20,16490281;1301;231;704;146;1952,25;1372,25;15,8499999;50,27499962;0,898908858
19/03/2004;19.00.00;4,5;1469;0;21,74774818;1344,25;251;677,25;144;1996,75;1471;15,47500014;50,625;0,88404696
19/03/2004;20.00.00;3,9;1467,25;0;19,84195049;1292;210;697,5;138;1942;1438,75;15,42499995;51,44999981;0,895625708
19/03/2004;21.00.00;4;1420,5;0;16,74405331;1202,25;249;747,5;143;1854;1428,5;15,20000005;53,12499905;0,911744585
19/03/2004;22.00.00;2,2;1175;0;9,145099271;945;143;903,75;116;1603,5;1080,5;14,70000005;57,57499981;0,957347051
19/03/2004;23.00.00;2,1;1215;0;8,301413417;911,5;127;947,75;109;1546,75;993;14,17499995;58,32499981;0,938021892
20/03/2004;00.00.00;1,7;1126,75;0;5,791191635;802;104;1064;92;1446,5;837;13,7750001;57,94999981;0,908543705
20/03/2004;01.00.00;1,6;1090,25;0;5,191654203;773;86;1105,25;83;1428,5;761;13,89999986;55,94999981;0,884206819
20/03/2004;02.00.00;1,3;1017;0;4,1231866;717,5;74;1181,75;81;1382,25;650,25;13,87499976;55,55000019;0,876487638
20/03/2004;03.00.00;1,3;997,25;0;3,410629499;677;0;1252,25;0;1358,5;590,75;13,82499981;55,10000038;0,866620379
20/03/2004;04.00.00;0;944,75;0;2,908548009;646,25;44;1308;55;1331,5;505;13,79999995;54,60000038;0,857388288
20/03/2004;05.00.00;0,8;955,75;0;3,1492096;661,25;42;1259,75;53;1350,5;518;13,62500024;55,125;0,856018865
20/03/2004;06.00.00;0,8;966,25;0;2,529440504;621,5;63;1316,75;67;1342,25;570,75;13,57499981;58,97500038;0,912884475
20/03/2004;07.00.00;1,1;1064;0;4,307931855;727,5;115;1160,5;91;1461,25;842;13,45000005;58,35000038;0,896023685
20/03/2004;08.00.00;2,1;1299,75;0;8,883264241;934,75;170;902,25;113;1623;1144,75;13,75;58,02500057;0,908269844
20/03/2004;09.00.00;2,4;1348;0;10,54347425;997,75;147;833,75;102;1689;1218,25;14,5999999;53,05000019;0,876531145
20/03/2004;10.00.00;2,6;1424,5;0;12,52110631;1067,5;166;776,25;107;1764;1341;15,0250001;52,32499981;0,888137772
20/03/2004;11.00.00;2,8;1473,75;0;12,33071157;1061;195;767,5;113;1768,25;1405,5;15,4000001;52,05000019;0,904642892
20/03/2004;12.00.00;2,6;1489,75;0;11,68841935;1038,75;182;782,25;108;1756,75;1421,5;16,25000048;49,95000076;0,915812654
20/03/2004;13.00.00;2,6;1494,75;0;11,7241144;1040;168;808,75;105;1735;1373;17,14999962;47,85000134;0,928079286
20/03/2004;14.00.00;2,1;1375,5;0;9,338736658;952,5;125;899,5;93;1636,25;1153,25;19,04999971;42,94999981;0,937023478
20/03/2004;15.00.00;1,7;1304,75;0;7,635017301;884;95;980;87;1573,25;927,25;19,50000048;42,25;0,947579638
20/03/2004;16.00.00;1,6;1282,5;0;6,714129542;844,25;79;1035,5;76;1538,75;766,25;19,50000048;42,32499981;0,949261728
20/03/2004;17.00.00;2,1;1392,25;0;9,724590097;967,25;119;929,75;94;1648,75;941,25;19,05000019;43,79999924;0,955567614
20/03/2004;18.00.00;2,3;1452,25;0;12,38916208;1063;142;855,5;110;1774,25;1146;18,47499943;46,27499962;0,974415794
20/03/2004;19.00.00;3,5;1633;0;16,64438971;1199,25;215;734;136;1918,5;1416,5;17,37500048;51,64999962;1,015916021
20/03/2004;20.00.00;3,9;1624,5;0;16,37162401;1191;229;732,75;139;1885;1442;17,0999999;51,27500057;0,99141492
20/03/2004;21.00.00;3,3;1534,5;0;13,73529005;1108;206;785,25;125;1819,5;1323,25;16,42499971;53,75000095;0,99635055
20/03/2004;22.00.00;2,3;1322,5;0;9,88344956;973,25;147;863,75;111;1712,25;1125;16,22500038;55,35000038;1,013229741
20/03/2004;23.00.00;2,1;1309;0;8,940462338;937;122;904,75;97;1671,5;1035,5;15,92499995;57,65000057;1,035643696
21/03/2004;00.00.00;2,8;1455,5;0;10,57763581;999;175;835;107;1713,75;1202,25;15,7249999;58,59999943;1,039552414
21/03/2004;01.00.00;2,1;1299,5;0;7,351704652;872;133;940,5;90;1577;1054,25;15,125;60,875;1,039813497
21/03/2004;02.00.00;1,6;1202,5;0;6,242660502;823;89;1003,75;84;1525,5;903;15,57500005;56,62499905;0,995073867
21/03/2004;03.00.00;1,6;1194,75;0;6,529351623;836;0;987;0;1554,25;884,5;15,20000005;57,92500019;0,994123411
21/03/2004;04.00.00;0;1116,75;0;5,791191635;802;85;1028,5;87;1538,75;817,75;15,375;57,75;1,002128859
21/03/2004;05.00.00;1,1;1061,75;0;3,995924293;710,5;55;1135,75;66;1460,75;700;14,9000001;60,55000019;1,019649369
21/03/2004;06.00.00;0,7;947;0;2,130370432;593,6666667;24;1300;36;1390;580,3333333;14,46666654;62,9666659;1,031616683
21/03/2004;07.00.00;0,8;1065;0;3,585512194;687,25;72;1142,5;62;1492,25;814,5;14,1500001;66,20000267;1,062981061
21/03/2004;08.00.00;1,2;1154,5;0;4,42986293;734;122;1061,75;91;1528;1035;14,4749999;65,29999924;1,07041104
21/03/2004;09.00.00;1,4;1220,25;0;5,364484431;781,5;111;995,75;89;1559,75;1067,25;15,29999995;62,12500095;1,072957956
21/03/2004;10.00.00;1,7;1300,75;0;7,113334198;861,75;123;913,5;93;1633;1114;16,32500029;59,00000095;1,086838365
21/03/2004;11.00.00;1,8;1279,25;0;7,299092626;869,75;106;911,25;81;1646,25;1000;18,87499952;49,57499981;1,069972729
21/03/2004;12.00.00;1,8;1267;0;7,605292633;882,75;103;952,75;82;1616,75;905,75;19,375;46,05000019;1,024916621
21/03/2004;13.00.00;1,9;1238,75;0;6,793183479;847,75;102;980,5;80;1567,5;822,25;20,7750001;41,62500095;1,009132844
21/03/2004;14.00.00;1,3;1128,25;0;4,586705931;742,25;48;1143,75;48;1506,5;610,25;21,375;40,27499962;1,012596863
21/03/2004;15.00.00;1,6;1242,75;0;8,418919081;916,25;63;962;61;1668,5;656,75;21,2249999;39,29999924;0,979146957
21/03/2004;16.00.00;1,9;1208;0;6,91250324;853;98;1059,75;89;1506,25;646,75;20,27499962;38,02500057;0,894213941
21/03/2004;17.00.00;2,3;1306,25;0;8,953194276;937,5;132;960,75;105;1606,5;762;19,4000001;41,29999924;0,92060895
21/03/2004;18.00.00;3,8;1545,5;0;15,0764869;1151;173;769,25;116;1873,75;1122;18,52499962;43,80000019;0,92515101
21/03/2004;19.00.00;3,5;1501;0;12,60939998;1070,5;185;823;119;1744,25;1130,25;17,7750001;48,05000114;0,968889456
21/03/2004;20.00.00;4,3;1604,75;0;15,1401612;1153;266;769,25;144;1840;1636,75;17,89999962;46,85000038;0,952044499
21/03/2004;21.00.00;2,8;1315,5;0;9,890092509;973,5;188;883,25;123;1672,5;1272,25;17,42500019;49,10000038;0,968767965
21/03/2004;22.00.00;1,9;1195;0;7,977364527;898,25;122;933,25;105;1594,25;1098;16,97500038;51,67500114;0,991390723
21/03/2004;23.00.00;1,9;1211;0;7,928929906;896,25;112;920,25;93;1624;1066,25;16,39999962;55,10000038;1,019777143
22/03/2004;00.00.00;1,7;1161,25;0;6,074365814;815,25;93;995,25;86;1582,25;909;16,12500048;60,02500057;1,091937922
22/03/2004;01.00.00;1,5;1095,25;0;5,071111975;767;74;1050,25;76;1547;818,25;15,82499981;60,52499962;1,080477313
22/03/2004;02.00.00;0,6;897;0;1,71865285;562,5;23;1416,5;33;1355;472,25;16,32500052;56,95000076;1,04907535
22/03/2004;03.00.00;0,4;842;0;0,710517574;468;0;1812,75;0;1274,25;393,5;16,92499971;53,90000057;1,030856269
22/03/2004;04.00.00;0;853,75;0;0,829014439;481,25;17;1755,5;27;1304;396,25;16,10000014;55,90000057;1,015304131
22/03/2004;05.00.00;0,3;845;0;0,747676455;472,25;15;1785,75;23;1278;378,25;16,5250001;53,87499905;1,004939362
22/03/2004;06.00.00;0,6;941,5;0;2,02560937;586;41;1479,5;46;1372,5;432;16,375;53,99999905;0,997854689
22/03/2004;07.00.00;1,2;1090,25;0;5,096125348;768,25;86;1072;76;1537,75;699;15,67499995;57,64999962;1,019486173
22/03/2004;08.00.00;3,6;1514,25;0;17,68644401;1230,25;226;732;116;1996,25;1252,25;15,79999995;53,69999981;0,957133027
22/03/2004;09.00.00;3,7;1378,75;0;18,42494551;1251,75;214;711;115;1961,75;1236,75;17,375;42,09999943;0,828074791
22/03/2004;10.00.00;1,8;1074,25;0;6,941043176;854,25;115;1031,75;83;1483,5;772;17,9000001;38,35000038;0,779314999
22/03/2004;11.00.00;1,6;1089,75;0;7,252461688;867,75;124;1025,75;87;1509;765,75;18,54999971;36,69999981;0,776380675
22/03/2004;12.00.00;1,9;1109,5;0;9,645572228;964,25;122;947,25;90;1576,5;828,75;21;29,55000019;0,72625099
22/03/2004;13.00.00;2;1101,75;0;10,44807267;994,25;107;954,75;87;1598,75;783;21,3499999;28,14999962;0,706678839
22/03/2004;14.00.00;2,2;1099,5;0;11,17256799;1020,5;133;951,75;99;1607;822;21,30000019;26,125;0,653860335
22/03/2004;15.00.00;2,1;1093,75;0;10,67353866;1002,5;130;965;99;1573,75;813;21,25;26,77499962;0,668101901
22/03/2004;16.00.00;2,3;1075,5;451;11,55320162;1034;150;964,25;101;1544,25;812,5;21,32499981;24,17500019;0,60597224
22/03/2004;17.00.00;2,6;1151,75;185;12,3526167;1061,75;138;928;103;1606,25;849,5;20,22500038;28,5;0,668178382
22/03/2004;18.00.00;3,8;1406,75;426;18,33841205;1249,25;213;720;129;1931,75;1275,75;16,9749999;43,07500076;0,826398721
22/03/2004;19.00.00;4,4;1437,5;672;21,02778471;1324,75;232;677,5;143;1992,5;1400,75;15,5999999;47,42499924;0,834715253
22/03/2004;20.00.00;4,5;1424,5;624;21,04611613;1325,25;238;678;146;1965;1355,75;15,2750001;47,42500019;0,817783435
22/03/2004;21.00.00;3,3;1278,5;325;14,45385965;1131,25;180;775,25;124;1758,25;1243;14,52499986;49,72499943;0,817693173
22/03/2004;22.00.00;2;1131,75;143;8,418919081;916,25;128;920;113;1560,5;1082,5;13,92499995;52;0,823093236
22/03/2004;23.00.00;1,1;1006,25;89;4,331267414;728,75;65;1141,75;80;1369,5;795;14,47499967;49,44999981;0,810594572
23/03/2004;00.00.00;0,9;982,25;73;3,799388372;699,5;53;1204,25;72;1358,75;735;13,79999995;51,39999962;0,807138413
23/03/2004;01.00.00;0,8;968,5;48;2,744960464;635,75;47;1271;64;1309,25;684;14,00000024;51,32499981;0,816299781
23/03/2004;02.00.00;0,7;940,5;47;2,525726643;621,25;51;1298,25;70;1329,75;714,25;12,95000005;56,77499866;0,844361518
23/03/2004;03.00.00;0,5;892;36;1,243793053;522,25;0;1522,25;0;1284,5;456;11,04999995;70,04999924;0,9214782
23/03/2004;04.00.00;0;855;25;0,796957826;477,75;20;1700,75;31;1261,25;401,25;10,07500029;76,82500076;0,948316547
